Year 0 1 2 3 4 5 6 7 8+
1974 0.0060 0.0300 0.0350 0.0430 0.0460 0.0710 0.0790 0.0830 0.0750
1975 0.0060 0.0300 0.0340 0.0520 0.0520 0.0540 0.0790 0.0780 0.0790
1976 0.0060 0.0230 0.0380 0.0400 0.0600 0.0580 0.0570 0.0800 0.0810
1977 0.0060 0.0290 0.0310 0.0500 0.0580 0.0690 0.0610 0.0720 0.0910
1978 0.0060 0.0270 0.0440 0.0430 0.0560 0.0620 0.0730 0.0730 0.0810
1979 0.0060 0.0240 0.0420 0.0590 0.0530 0.0660 0.0720 0.0770 0.0860
1980 0.0060 0.0240 0.0370 0.0540 0.0680 0.0630 0.0770 0.0800 0.0940
1981 0.0060 0.0260 0.0350 0.0530 0.0700 0.0790 0.0770 0.0860 0.1000
1982 0.0060 0.0220 0.0390 0.0530 0.0650 0.0750 0.0840 0.0800 0.1010
1983 0.0060 0.0180 0.0310 0.0560 0.0590 0.0770 0.0870 0.0910 0.1030
1984 0.0060 0.0160 0.0300 0.0460 0.0650 0.0670 0.0820 0.0890 0.1010
1985 0.0060 0.0160 0.0230 0.0420 0.0580 0.0670 0.0750 0.0850 0.1020
1986 0.0060 0.0180 0.0250 0.0330 0.0510 0.0630 0.0690 0.0790 0.0990
1987 0.0060 0.0150 0.0330 0.0380 0.0450 0.0590 0.0640 0.0710 0.0920
1988 0.0060 0.0200 0.0260 0.0470 0.0510 0.0530 0.0650 0.0710 0.0900
1989 0.0060 0.0230 0.0360 0.0370 0.0520 0.0570 0.0590 0.0670 0.0820
1990 0.0060 0.0180 0.0310 0.0420 0.0390 0.0600 0.0620 0.0640 0.0770
1991 0.0060 0.0230 0.0240 0.0350 0.0490 0.0410 0.0600 0.0560 0.0690
1992 0.0060 0.0130 0.0230 0.0310 0.0420 0.0570 0.0500 0.0670 0.0710
1993 0.0060 0.0130 0.0210 0.0320 0.0350 0.0440 0.0510 0.0500 0.0660
1994 0.0060 0.0160 0.0210 0.0280 0.0380 0.0420 0.0520 0.0610 0.0640
1995 0.0060 0.0110 0.0210 0.0240 0.0320 0.0410 0.0420 0.0490 0.0540
1996 0.0060 0.0110 0.0170 0.0240 0.0280 0.0330 0.0370 0.0400 0.0510
1997 0.0060 0.0110 0.0170 0.0220 0.0260 0.0300 0.0350 0.0400 0.0440
1998 0.0060 0.0100 0.0180 0.0210 0.0280 0.0330 0.0370 0.0410 0.0460
1999 0.0060 0.0130 0.0160 0.0220 0.0250 0.0290 0.0360 0.0390 0.0540
2000 0.0060 0.0130 0.0230 0.0260 0.0280 0.0310 0.0360 0.0410 0.0460
2001 0.0060 0.0140 0.0190 0.0290 0.0300 0.0340 0.0370 0.0440 0.0470
2002 0.0060 0.0133 0.0216 0.0271 0.0330 0.0366 0.0392 0.0438 0.0454
2003 0.0060 0.0094 0.0242 0.0298 0.0355 0.0388 0.0446 0.0501 0.0549
2004 0.0060 0.0086 0.0143 0.0265 0.0304 0.0389 0.0418 0.0474 0.0540
2005 0.0060 0.0122 0.0152 0.0193 0.0292 0.0356 0.0434 0.0481 0.0561
2006 0.0060 0.0120 0.0234 0.0237 0.0263 0.0339 0.0435 0.0486 0.0553
2007 0.0060 0.0123 0.0215 0.0254 0.0300 0.0330 0.0427 0.0497 0.0603
2008 0.0060 0.0133 0.0222 0.0257 0.0302 0.0370 0.0335 0.0439 0.0498
2009 0.0060 0.0112 0.0199 0.0268 0.0295 0.0354 0.0418 0.0357 0.0464
2010 0.0060 0.0120 0.0183 0.0258 0.0322 0.0332 0.0385 0.0450 0.0450
2011 0.0060 0.0125 0.0215 0.0246 0.0317 0.0375 0.039 0.0474 0.0475
2012 0.0060 0.0142 0.0291 0.0268 0.0329 0.0417 0.0458 0.0511 0.0597
2013 0.0060 0.0120 0.0210 0.0351 0.0324 0.0386 0.0480 0.0505 0.0566
2014 0.0060 0.0118 0.0201 0.0294 0.0390 0.0350 0.0446 0.0492 0.0553
2015 0.0060 0.0071 0.0217 0.0272 0.0331 0.0399 0.0403 0.0471 0.0512
2016 0.0060 0.0086 0.0123 0.0256 0.0293 0.0339 0.0374 0.0407 0.0470
2017 0.0060 0.0109 0.0192 0.0208 0.0321 0.0347 0.0403 0.0482 0.0518
2018 0.0060 0.0111 0.0187 0.0279 0.0284 0.0398 0.0408 0.0432 0.0521
2019 0.0060 0.0118 0.0203 0.0242 0.0312 0.0314 0.0404 0.0441 0.0490
2020 0.0060 0.0116 0.0203 0.0261 0.0297 0.0349 0.0343 0.0456 0.0471
2021 0.0060 0.0086 0.0186 0.0219 0.0282 0.0296 0.0340 0.0351 0.0415
2022 0.0060 0.0153 0.0207 0.0273 0.0307 0.0361 0.0362 0.0387 0.0470
2023 0.0060 0.0120 0.0273 0.0270 0.0329 0.0363 0.0414 0.0410 0.0449
2024 0.0077 0.0178 0.0250 0.0417 0.0360 0.0457 0.0484 0.0515 0.0580
