Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15+
1980,11,21,26,32,35,38,40,45,50,56,58,57,77,62,93
1981,12,20,27,34,41,42,46,49,54,59,68,68,65,110,75
1982,10,19,28,35,39,43,45,50,52,60,61,67,80,73,84
1983,12,21,32,38,44,50,52,56,63,63,70,81,92,103,106
1984,13,22,32,40,45,51,58,61,59,63,67,82,74,72,115
1985,10,20,30,38,42,47,52,56,58,60,64,72,76,71,80
1986,12,18,27,35,40,45,48,50,59,58,63,63,68,81,63
1987,10,22,29,35,42,46,51,57,60,61,66,67,66,74,90
1988,11,21,32,37,42,48,54,61,62,70,72,78,77,84,90
1989,12,24,33,42,47,52,56,61,67,65,71,76,81,82,117
1990,10,19,32,39,45,51,57,60,69,72,75,93,85,79,94
1991,12,22,28,36,41,48,53,55,59,64,67,71,72,80,80
1992,12,20,27,30,40,44,50,54,58,65,64,72,65,87,72
1993,11,19,27,31,34,44,50,55,60,64,67,71,79,93,95
1994,12,21,28,33,36,40,49,56,62,69,74,70,77,46,85
1995,9,19,27,30,35,39,43,52,62,68,76,94,87,104,102
1996,11,17,26,32,34,40,44,49,58,64,69,76,70,98,87
1997,9,16,23,29,34,37,43,47,54,64,69,71,91,86,92
1998,8,14,21,28,34,41,44,56,58,67,82,83,112,97,110
1999,8,13,21,26,33,41,46,54,57,63,74,79,86,103,121
2000,8,14,20,25,29,34,39,41,46,56,55,65,71,69,78
2001,9,15,22,27,29,33,40,42,47,48,58,62,62,68,78
2002,8,16,23,27,31,35,39,44,48,54,58,58,66,75,88
2003,8,16,23,27,31,35,40,42,49,57,61,62,62,71,85
2004,7,14,20,26,30,37,39,43,49,53,60,59,64,73,63
2005,8,13,20,25,30,32,39,39,43,45,48,50,45,57,55
2006,8,15,19,23,27,33,35,38,40,43,43,45,51,54,51
2007,7,15,21,25,27,31,36,39,43,44,48,50,52,52,64
2008,9,15,21,23,28,29,33,38,40,46,54,47,54,62,51
2009,10,16,21,24,30,31,35,37,41,44,52,51,57,56,56
2010,8,17,23,26,29,35,33,39,44,43,50,58,55,55,67
2011,9,16,23,27,29,33,36,39,42,43,48,50,50,60,53
2012,9,17,24,27,30,36,39,41,46,49,50,53,57,57,68
2013,13,20,25,29,32,35,37,39,44,46,46,47,52,53,57
2014,10,18,26,29,33,40,43,46,48,49,49,60,56,59,70
2015,13,19,25,29,32,37,39,43,44,47,52,51,55,53,54
2016,12,17,23,28,32,35,38,45,48,52,53,54,65,66,62
2017,10,18,23,27,32,38,39,42,48,53,56,55,59,62,67
2018,10,18,24,28,32,37,37,41,47,50,61,49,58,65,62
2019,10,17,24,30,32,34,39,43,47,51,51,53,56,64,64
2020,7,17,24,30,34,36,39,47,48,51,57,60,58,48,68
2021,7,16,21,25,28,32,34,36,41,43,45,49,51,50,55
2022,8,15,21,25,29,32,34,37,39,44,46,46,54,47,56
2023 ,8,        16,     22  ,    24  ,    31 ,     35  ,     40   ,   43 ,    41 ,     44,       57  ,   52    ,   56  ,    62,     54
2024,7,15,22,26,30,35,39,42,48,53,56,50,52,56,70
