FINLAND,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Quota -mainland,30,100,100,180,230,395,490,635,675,685,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
Bag -Bothnian Bay,,,,,112,181,225,241,67,100,236,316,211,185,80,65,38,44,47,58,41,59,64,130,136,107,
Bag  - SwFinland ,,,,,4,24,45,44,54,68,78,103,83,49,49,44,47,86,94,43,66,96,81,119,83,119,
Bag - Gulf of Finland,,,,,14,28,21,27,36,50,46,56,55,56,48,25,87,50,54,117,113,130,86,164,96,112,
Total bag - mainland,16,62,60,92,130,233,291,312,157,218,360,475,349,290,177,134,172,180,195,218,220,285,231,413,315,338,361
Quota -Åland,0,0,84,89,203,203,293,250,390,450,450,450,450,450,450,450,450,450,450,450,450,450,500,500,500,500,500
Total bag - Åland,0,0,30,54,95,82,150,118,103,183,228,146,145,90,115,104,115,123,73,72,128,343,215,207,132,172,189
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data sources: https://riistaweb.riista.fi/riistatiedot/riistatietohaku.mhtml, The Finnish Wildlife Agency, Ålands landskapsregering",,,,,,,,,,,,,,,,,,,,,,,,,,,
