,,,,,,,,,,,,,,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kalmar,,,,,,4,8,8,7,11,,10,18,14,17,18,40,167,144,79,,,
Östergötland,,2,2,0,3,2,3,5,2,3,,4,3,2,4,3,27,33,73,59,,,
Söderman,,2,1,0,0,0,3,3,4,7,,2,3,19,6,3,11,28,77,97,,,
Stockholm,,0,7,3,23,10,11,12,9,6,,11,14,23,17,60,106,220,107,216,,,
Uppsala,,2,1,10,5,6,7,14,5,2,,0,4,22,3,18,20,59,77,75,,,
Gävleborg,,25,16,19,35,26,50,46,25,16,,27,25,53,56,66,145,225,181,128,,,
Västernorrland,,2,2,2,3,21,18,12,5,3,,5,14,20,13,30,29,64,90,103,,,
Västerbotten,,8,7,13,12,7,3,5,12,5,,6,4,19,17,18,18,24,66,33,,,
Norrbotten,,36,35,36,26,20,27,23,23,19,,37,20,32,25,4,14,54,99,27,,,
Gotland,,,,,,,,,,,,,0,36,32,39,49,105,63,41,,,
Blekinge,,,,,,,,,,,,,5,19,4,1,14,37,39,55,,,
Skåne,,,,,,,,,,,,,0,26,7,3,26,55,12,15,,,
Sum,79,77,71,83,107,96,130,128,92,72,92,102,110,285,201,263,499,1071,1028,928,684,727,761
Quota,150,170,170,170,173,210,230,230,230,230,230,250,290,310,480,525,600,1100,2000,2000,2000,1500,1500
