Individual,Code,Sample code,Year,Month ,Day,ICES,HELCOM Unit,National Unit,Place,ETRS/X,ETRS/y,Age class,Age (years),Sex,Mortality reason,Source,Gear type,Fish type,Lenght (cm) (nose-tail),Weight (kg),Blubber (mm),Liver worm,Stage of worm1-4,RepYear,Pregnent,CL,CL horn,CL mm,CA,CA horn,CA mm,Scar,belt,expansion,Orange,Tumors,Previous reproduction,Nulliparous,Huom.,
1,,18 hg,1978,6,13,31,Bothnian Bay,Bothnian Bay and Quark,Pietarsaaren edusta,,,Juvenile,0,2,4,By-caught,verkko,lohi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,,45 hg,1982,5,9,32,Gulf of Finland,Gulf of Finland,,,,Juvenile,0,1,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,,47 hg,1982,7,2,32,Gulf of Finland,Gulf of Finland,Pyhämaa,,,Juvenile,0,2,4,By-caught,rysä,silakka,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4,,58 hg,1982,10,28,,,,Särkänniemi,,,Adult,13,2,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5,,61 hg,1981,,,,,,,,,Juvenile,0,1,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
6,,79 hg,1983,,,,,,Korkeasaari,,,Juvenile,0,1,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7,,80 hg,1983,,,,,,Korkeasaari,,,Juvenile,0,1,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
8,,81 hg,1983,,,32,Gulf of Finland,Gulf of Finland,Hanko,,,Juvenile,0,2,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
9,,90 hg,1984,4,26,32,Gulf of Finland,Gulf of Finland,Tvärminne,,,Juvenile,0,1,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10,,97 hg,1984,5,22,30,Bothnian Sea,Bothnian Sea,Luvia,,,Juvenile,0,2,4,By-caught,rysä,lohi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11,,99 hg,1984,7,27,32,Gulf of Finland,Gulf of Finland,,,,Adult,43,2,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,,111 hg,1985,7,10,32,Gulf of Finland,Gulf of Finland,,,,Adult,40,2,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
13,,113 hg,1985,7,25,29,Bothnian Sea,SW Finland,Paimionlahti,,,Juvenile,0,1,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
14,,114 hg,1985,8,19,32,Gulf of Finland,Gulf of Finland,,,,Adult,40,2,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
15,,118 hg,1985,10,16,32,Gulf of Finland,Gulf of Finland,,,,Adult,27,2,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,,119 hg,1986,3,24,32,Gulf of Finland,Gulf of Finland,,,,Juvenile,0,1,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
17,,131 hg,1986,4,20,32,Gulf of Finland,Gulf of Finland,,,,Juvenile,0,1,4,By-caught,verkko,siika,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18,,141 hg,1986,7,21,31,Bothnian Bay,Bothnian Bay and Quark,Vaasa,,,Juvenile,0,2,6,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
19,,152 hg,1986,9,24,29,Åland Sea,SW Finland,Bogskär,,,Juvenile,0,2,4,By-caught,verkko,lohi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
