Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav ","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast",,Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,,Pregnancy status,,Fetus length from nose to tail,Fetus crown-rump length
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder (formel),Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump
1995,19950216,2,A1995/05012,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, trål",X,BH,x,19950217,80.0,156,25,,,,,,,,,,
1995,19950309,3,A1995/05025,#N/A,Gråsäl,Hona,Strandad,Pneumoni,M,EÖ,x,19950314,83.0,173,18,,myom,0,,,Ja,,,,
1995,19950329,3,A1995/05030,#N/A,Gråsäl,Hona,Strandad,Drunkning,C,BH,x,19950403,18.5,97,28,Juvenil,0,0,,,,Juvenil,,,
1995,19950406,4,A1995/05035,#N/A,Gråsäl,Hona,Strandad,Svält,AB,EÖ,x,19950407,9.1,94,1,Juvenil,0,0,,,,Juvenil,,,
1995,19950406,4,A1995/05036,#N/A,Gråsäl,Hane,Strandad,Svält,AB,EÖ,x,19950407,10.6,92,2,,,,,,,,,,
1995,19950406,4,A1995/05037,#N/A,Gråsäl,Hona,Strandad,Svält,AB,EÖ,x,19950407,8.0,88,1,,0,0,,,,Juvenil,,,
1995,19950406,4,A1995/05038,#N/A,Gråsäl,Hona,Strandad,"Omphalitis, peritonit",AB,EÖ,x,19950407,13.9,91.5,14,Juvenil,,,,,,Juvenil,,,
1995,19950408,4,A1995/05039,#N/A,Gråsäl,Hane,Strandad,Svält,AB,EÖ,x,19950428,12.2,99,4,,,,,,,,,,
1995,19950418,4,A1995/05041,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, nät",E,EÖ,x,19950428,34.0,106,35,,,,,,,,,,
1995,19950320,3,A1995/05044,#N/A,Gråsäl,Hane,Strandad,,AB,EÖ,x,19950517,16.8,95,5,,,,,,,,,,
