Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast","Body (x), Samples (0)",Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,CL,Pregnancy status,,Fetus length nose-tail,Fetus length crown-rump ,
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder ,Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump,
2023,28/08/2023,8,B2024/00005,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,11/01/2024,38,128,35,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00006,0,Grey seal,Female,Hunt,Shot,E,EÖ,0,11/01/2024,30,115,25,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,23/10/2023,10,B2024/00007,17,Grey seal,Female,Hunt,Shot,C,BH,0,12/01/2024,,160,50,Parous,,x,Ja,Nej,Ja,Dräktig,PP placentaärr,33,,
2023,23/10/2023,10,B2024/00009,,Grey seal,Female,Hunt,Mother shot,C,BH,x,12/01/2024,0.893,33,,,,,,,,,,,,
2023,23/10/2023,10,B2024/00008,2,Grey seal,Female,Hunt,Shot,C,BH,0,12/01/2024,38,136,40,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00010,17,Grey seal,Female,Hunt,Shot,AB,EÖ,0,15/01/2024,,168,60,Parous,,x,Nej,Nej,Ja,Dräktig,Ej PP tecken (kvar),16.2,,
2023,23/10/2023,10,B2024/00011,14,Grey seal,Female,Hunt,Shot,C,BH,0,15/01/2024,,175,75,Parous,,x,Ja,Ja,Ja,Dräktig,PP placentaärr+CA,37.5,,
2023,23/10/2023,10,B2024/00018,,Grey seal,Female,Hunt,Mother shot,C,BH,x,15/01/2024,1.271,37.5,,,,,,,,,,,,
2023,23/10/2023,10,B2024/00012,3,Grey seal,Female,Hunt,Shot,C,BH,0,17/01/2024,,139,50,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,23/10/2023,10,B2024/00013,4,Grey seal,Female,Hunt,Shot,C,BH,0,17/01/2024,,145,60,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,23/10/2023,10,B2024/00014,1,Grey seal,Male,Hunt,Shot,C,BH,0,19/01/2024,,147,55,,,,,,,,,,,
2023,23/10/2023,10,B2024/00021,3,Grey seal,Male,Hunt,Shot,C,BH,0,22/01/2024,,160,50,,,,,,,,,,,
2023,23/10/2023,10,B2024/00022,9,Grey seal,Female,Hunt,Shot,C,BH,0,25/01/2024,,152,70,Parous,,x,Ja,Nej,Ja,Dräktig,PP placentaärr,45,,
2023,23/10/2023,10,B2024/00031,,Grey seal,Male,Hunt,Mother shot,C,BH,x,25/01/2024,2.049,45,,,,,,,,,,,,
2023,31/08/2023,8,B2024/00023,6,Grey seal,Male,Hunt,Shot,X,BH,0,25/01/2024,,165,35,,,,,,,,,,,
2023,23/10/2023,10,B2024/00024,2,Grey seal,Female,Hunt,Shot,C,BH,0,26/01/2024,,129,50,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,29/08/2023,8,B2024/00025,0,Grey seal,Female,Hunt,Shot,X,BH,0,26/01/2024,,121,15,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,03/10/2023,10,B2024/00026,1,Grey seal,Male,Hunt,Shot,C,BH,0,26/01/2024,55,134,40,,,,,,,,,,,
